columna,media,desviacion
chroma_stft_mean,0.37539,0.09126269
chroma_stft_var,0.08516796,0.0095592085
rms_mean,0.12950443,0.06870442
rms_var,0.0027011514,0.0035311847
spectral_centroid_mean,2168.9036,768.6928
spectral_centroid_var,420417.9,440849.72
spectral_bandwidth_mean,2222.264,555.3401
spectral_bandwidth_var,120107.33,103487.14
rolloff_mean,4498.79,1678.2183
rolloff_var,1.646802e+06,1.5073772e+06
zero_crossing_rate_mean,0.100760765,0.046162356
zero_crossing_rate_var,0.002638046,0.0037309248
harmony_mean,-0.0003095824,0.0016365345
harmony_var,0.012496457,0.012448456
perceptr_mean,-0.0003555205,0.0011036312
perceptr_var,0.005550281,0.006790916
tempo,124.80223,33.009804
mfcc1_mean,-150.45428,108.617966
mfcc1_var,2896.7837,2635.5955
mfcc2_mean,102.3082,35.53208
mfcc2_var,603.06555,470.35074
mfcc3_mean,-9.557591,23.961172
mfcc3_var,379.286,299.18884
mfcc4_mean,36.97009,17.711105
mfcc4_var,187.47733,134.90198
mfcc5_mean,-1.6850853,13.537649
mfcc5_var,146.61781,112.2415
mfcc6_mean,14.873057,12.688905
mfcc6_var,108.0691,74.94823
mfcc7_mean,-5.581272,11.035876
mfcc7_var,98.03353,65.12024
mfcc8_mean,10.109537,11.142728
mfcc8_var,75.176926,46.149727
mfcc9_mean,-7.289898,9.315244
mfcc9_var,74.61118,45.118954
mfcc10_mean,7.754257,8.824279
mfcc10_var,69.5437,42.424225
mfcc11_mean,-6.330505,7.835102
mfcc11_var,64.78994,41.25998
mfcc12_mean,4.5818124,7.5825057
mfcc12_var,58.589245,38.684505
mfcc13_mean,-4.818995,6.9172807
mfcc13_var,57.717667,36.428883
mfcc14_mean,2.0061924,6.0904927
mfcc14_var,54.918102,39.351322
mfcc15_mean,-3.966075,5.9121037
mfcc15_var,52.890953,37.83689
mfcc16_mean,1.1196978,5.729916
mfcc16_var,50.250347,34.589626
mfcc17_mean,-4.086691,5.5884447
mfcc17_var,52.25129,36.65343
mfcc18_mean,0.49866852,5.2345533
mfcc18_var,53.01073,38.409477
mfcc19_mean,-2.3204057,5.116975
mfcc19_var,55.902542,43.251465
mfcc20_mean,-1.0075008,5.355107
mfcc20_var,58.680874,48.752846
